Anonymized Message,Valence
Why can't exs just DIE after you are done with them!?!?!?LOL......seriously!!!!!!!,2
"funny how i hit thirty and i get allergies, wrinkles, saggy boobs, etc...... i do drugs for 15 years and not a damn thing happens!!!?????",2
Trying to take my mind off the fact my heart is hurting. So I'm watching episodes of Martin my mind is so cloudy.,2
I miss my best friend......,2
*sigh...        You suck!! -.-        ....people dont have trust anymore.......and they end up believing some crap..... and the equation always ends up in an slaps and anger on the wrong person??.....nice..... and im very sleepy.....and im venting out on fb.... :@ :/ -.- T.T,2
"I <PERSON>, HERE BY DECLARE ALL OUT WAR ON MATH! YOUR GOING DOWN FUCKER!! YOUVE PISSED OFF THE WRONG BRAIN AND IM GONNA KICK YOUR ASS SO HARD YOUR GONNA SHIT OUT YOUR EARS AND PISS THROUGH YOUR NOSE!!",2
"So two things... I haven't looked at my wall in a long time... so thanks everyone for the birthday wishes and all the kind words... it really means a lot to me.  :)  Second, today would have been my best friend's 32nd birthday.  She died almost 16 years ago- Rest in Peace Becca.  You are always in my heart.",2
Have you ever looked at a picture and had it bring you to tears b/c for an instant you think you see it in thier eyes too and if only....,2
Not much left here for me!,2
I'm so done right now...I hate this feeling of being lost I'm so used to being in control,2
is hurting...,2
All alone. Can't sleep. Thinking too much...,2
"It must've been so hard on you        I'm sorry for all I put you through        I'm sorry for the helping hand I didn't lend        I wish I'd been a better friend        How do I tell you I'm sorry -        With a gesture, a look, a touch?        How is it I never realized        I hurt you so much        I'm sorry I hurt you        I didn't mean to        I'm sorry I hurt you,         I regret it, I do.        What I did, I regret",2
i hate the fucking snow,2
Wishes she could have gone to <PERSON>'s funeral! :(,2
"I can't fly, my wings don't work so I	Get high so my feelings ain't hurt	Fuck the world, don't ask me for shit	Dead and gone but it still don't quit.",2
i never thought that i could be so wrong about you twice....,2
it's my birthday. i get it. so don't tell me happy birthday. i already heard it enough from my family,2
I can't believe Michael Jackson is dead! ):,2
At least 15 dead as israeli forces attack Gaza aid ahips!!!!!!! i hhhhhhate israil,2
i feel invisibe. ugh fml!,2
i wasn't the son my father wanted,2
THE END IS NEAR WE ARE ALL GOING TO DIE,2
getting heart broken is the worst thing ever!!!   :(,2
annoying children must die,2
I can't believe Michael Jackson is dead! ):,2
"When youÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢re sad and alone, the only one you can truly depend on is yourself. ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Zetsu",2
school be messed up,2
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",2
"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",2
"omg, y is life so difficult??? when one door closses another one opens, well where the f*** is the other door...",2
"In my line of work, I rarely have the opportunity to actually refuse anything; as such, I really appreciate all of the invites and requests regarding lame-ass Facebook games.  Flatly ignoring them is quite cathartic for me.",2
IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,2
"life's confusing... sometimes you feel happy, sometimes you feel sad... sometimes you're sad because you're happy... that's just so damn retarded...",2
"I wish <PERSON> would phone or email me. He should be in Seattle by now, he's been gone almost a week and not a word. :(",2
"Just spent two hours cleaning out the basement of boxes and miscellaneous items that were in them. Must've been about 40-50 boxes...Now most are in the garage because we have yet to go through all of them. Yay, I get to look forward to this in the Spring and Summer AGAIN.",2
"Pizza reaches home faster than Ambulance & police,  Car loans @ 5% and education loan @ 12%, Rice is Rs 40/- per kg but SIM card is free, The footwear is sold in AC showrooms, but vegetables, that we eat, are sold on footpaths...Got to change something here...",2
My friends are going back home!!! I'll miss you guys so much!!! :((,2
Need to be extra careful now a days. flu...conjunctive eyes...typhoid .........are the most common results of ignorance :(,2
birthdays don't feel like birthdays anymore,2
:'(,2
"JUST SO I UNDERSTAND THIS... YOU PASS THE NORTH KOREAN BORDER ILLEGALLY YOU GET 12 YRS. HARD LABOR, YOU PASS THE AFGHAN BORDER ILLEGALLY YOU GET SHOT. YOU PASS THE AMERICAN BORDER ILLEGALLY YOU GET A JOB, DRIVER'S LICENSE, ALLOWANCE FOR A PLACE TO LIVE, HEALTH CARE, EDUCATION, BILLIONS OF DOLLARS SPENT SO YOU CAN READ A DOCUMENT. WE CARRY PASSPORTS IN OTHER COUNTRIES OR FACE JAIL TIME. REPOST THIS IF YOU AGREE",2
Scared. I hate this feeling. Im never scared.,2
"I could never figure out why people could hurt the ones they love the most, who would have thought  I would turn into someone like that. what else can I say except that I'm sorry, I'll change. They aren't empty words I'll prove it I promise I'll find a way to brings things back to the way they were, I won't push you away anymore. Thank you to the friend that was there for me and never gave up on me.",2
"You know how you have those people that are always telling you what you've done wrong or how to live your life, you know why? Cause there life is shit and unfixable, so they think by helping you helps them. I say fuck that do what you want when you want people, it's your life not there's.",2
Why is it raining?!?  It's not supposed to rain!  So sad...,2
YA ALLAH....... HELP US.....:'(,2
yall need to shut ur mouths cause im fixing to slap the shit outta u 2..,2
"Well, since I can't sleep, I might as well clean the house. I've already been awake for more than 33 hours, seriously, what the fuck... Maybe its becuase it's my birthday, woohoo.... 27, I tell myself its just another day but, thats not what I'm really thinking...",2
so here is my question why is it so hard to find someone to trust to believe in and that also believes in you and trust you,2
Mehh. fuck you cw. FML.,2
So tired of writing paper after paper. It makes me wonder how my masters program will be.,2
No one dies a virgin coz lyf badly fukssss :( :X,2
"Happy for someone, although hearts crying loud. Told meself this will happen sooner of later. You stupid f***...you followed your heart again! This is what you'll get for ignoring the truth. They say Truth will set you free.\ but they didnt say it'll also beat the heck out of yo' ass. Happy...but hurting. Still here...still here. FOR YOU! Tnx\""""",2
A little worried- <PERSON> is up in Big Bear I keep trying to call but have been able to reach him.  I am currently tracking the weather and am worried out of my mind.,2
is annoyed at her stupid neighbors for practicing piano @ 10 o'clock!!! go 2 sleep u freaks!,2
i feel invisibe. ugh fml!,2
SICK AGAIN !!!! HATE IT !!!!!,2
"you played me till i left, now theirs nobody left to hear your complaining-- im gone. and all your hearing is your own damn echoes, and im gone and your all alone hearin your own damn echoes. disgusted with trust, ill trust no one no more. just went with the flo, found myself on the floor.",2
just found out the worst news ever so whatever,2
"I'm having a bad I miss <PERSON> day\. For no reason...nothing triggered it...kids aren't driving me too crazy. I just miss his laugh""",2
good bye grandma.. i hope u reach a better place.. we love u.. :'(,2
This day could not possibly get any worse! :/,2
:'(,2
"backpack got stolen, pe teacha hates me. yeaa 2010 isnt going so good -_-",2
Don't you just despise when somebody makes up something just to make u look bad?,2
"Love never dies a natural death. It dies because we don't know how to replenish it's source. It dies of blindness and errors and betrayals. It dies of illness and wounds, it dies of weariness",2
I love you mom. I dont want you to go but it hurts to see you live in such pain.,2
sad... just sad..,2
Its hard to understand that the one who hurt you is the one you trusted most...huhuhuhu....sori for me!!!!!!!,2
"Wow, <PERSON>, what a jackass.  Seriously?  You doubt evolution and mock the proven facts of the missing links leading to humanity.  You sir are an asshole.  Last time I checked, I haven't actually seen 'God' kickin around my neighborhood lately.  I guess fiction, I'm sorry the bible, is more important than nonfiction these days...",2
I hate going to basketball games. Their so gay.,2
UGLY uniforms!!!!!!!!!!!!!!!!! We look as bad as we play.,2
Consumed by anger.,2
its funny when she feels like shes the only one thats fighting to fix things when ive given up everything and done everything shes asked no questions and no arguements and still im reminded that after everything im still not making a difference,2
People change I guess... Things they couldn't do before they can do now... Not because of you but because of others... Just because you're happy for them doesn't mean you can't be a little hurt because you've been left behind... Forgotten :(,2
"I hate living in a society where torturing one animal is cruelty, but torturing many animals is science.",2
"doesn't feel well at all =( ..sick to my stomach, dizzy, light headed..maybe a nap will help, i hope.",2
the lady you order food from 525 is rude as fuck wat a bitch,2
"The worst way to miss someone is 		when they are right beside you and yet you know you can never have them.\\""""",2
whatta day!! lost my blue slip and my tickler. huhu.. now my salary is endangered as well as my board exam. ....slowly losing my mind... and the week is just starting.,2
a lot of people find themselves trapped in something that they've outgrown and are unhappy.. and they dont know how to get out of it because they think that they're supposed to make it happen..,2
you just killing me inside,2
up the worlds a$$ that what i think right now sorry if anyone might be offended by that,2
hopes he can stay at this really good job. I am so afraid of what could happen. Not for me...no. But my wife and kids. I'm who they depend on for substance.. to provide for them. To fail them would be hearbreaking. Pray for me to keep on keepin' on and trust in God to provide no matter what the outcome might be.,2
You are even more disgusting than I thought...,2
wishes i could of skipped this whole year and be 16 now..........this was the worst birthday EVER!!!!,2
"I'm sick of stupid people that just criticize how i am, get a life seriously -.-, i'm how i am and i'll not change cause of your stupid words so shut the hell up and stop.",2
I hate my job!,2
"Worst thanksgiving ever. Broke mand hand, got a cast, and wont be able to play basketball this season or any other sport for the next 2 months. F**king great",2
What a shitty day! first my car breaks down now I'm in the er with branden becuz he decided to punch the floor! Arrgh!,2
"if only i could find a boy that won't lie and decieve me,one that could just talk to me instead of want to be all over me alllll the time, all i ask for is a friend",2
says almost all guys are untrustworthy...,2
you will never see my caring side anymore.,2
Actually make that a horrible day. text me,2
So here i am again in the middle of the end and the choice i wish id made i always make to late.,2
Being without a car is Horrible... HORRIBLE!,2
Carolina is horrible!,2
Just an FYI for a certain person out there..if you dont want me to know something and want it kept secret then GET THE F#CK OFF FACEBOOK..Dont ask my kids how I knew and get pissed that I know. Ask me or get off here,2
getting heart broken is the worst thing ever!!!   :(,2
"Car f****d again after only getting it out of the garage on tuesday.  Laptop crashed and had to get windows reinstalled, f**k you Bill Gates and Microsoft.  and to top it all off it is raining.  Saturdays gotta love em",2
WTF WHY ARE YOU CHEATING IN A GAME OF THIS IMPORTANCE THAT WAS A CLEAN HIT ANYBODY COULD SEE THAT.YOU REFS ARE SORRY SACKS OF XXXX AND COULDNT CALL A PLAY IF YOUR LIFE DEPENDED ON IT.WHEN A RECEIVER CATCHES A PLAY AND GET HIT THAT IS FOOTBALL.IT AINT ALWAYS PRETTY IF YOU WANT PRETTY GO WATCH A BALLET.THE RAVENS ARE GOING TO START HURTING THE COLTS IF THE REFS DONT STOP CHEATING!,2
"tell me when the pain is over, its been there too long im bored of it",2
Why can't exs just DIE after you are done with them!?!?!?LOL......seriously!!!!!!!,2
"funny how i hit thirty and i get allergies, wrinkles, saggy boobs, etc...... i do drugs for 15 years and not a damn thing happens!!!?????",2
Trying to take my mind off the fact my heart is hurting. So I'm watching episodes of Martin my mind is so cloudy.,2
I miss my best friend......,2
*sigh...        You suck!! -.-        ....people dont have trust anymore.......and they end up believing some crap..... and the equation always ends up in an slaps and anger on the wrong person??.....nice..... and im very sleepy.....and im venting out on fb.... :@ :/ -.- T.T,2
"I <PERSON>, HERE BY DECLARE ALL OUT WAR ON MATH! YOUR GOING DOWN FUCKER!! YOUVE PISSED OFF THE WRONG BRAIN AND IM GONNA KICK YOUR ASS SO HARD YOUR GONNA SHIT OUT YOUR EARS AND PISS THROUGH YOUR NOSE!!",2
"So two things... I haven't looked at my wall in a long time... so thanks everyone for the birthday wishes and all the kind words... it really means a lot to me.  :)  Second, today would have been my best friend's 32nd birthday.  She died almost 16 years ago- Rest in Peace Becca.  You are always in my heart.",2
Have you ever looked at a picture and had it bring you to tears b/c for an instant you think you see it in thier eyes too and if only....,2
Not much left here for me!,2
I'm so done right now...I hate this feeling of being lost I'm so used to being in control,2
is hurting...,2
All alone. Can't sleep. Thinking too much...,2
"It must've been so hard on you        I'm sorry for all I put you through        I'm sorry for the helping hand I didn't lend        I wish I'd been a better friend        How do I tell you I'm sorry -        With a gesture, a look, a touch?        How is it I never realized        I hurt you so much        I'm sorry I hurt you        I didn't mean to        I'm sorry I hurt you,         I regret it, I do.        What I did, I regret",2
i hate the fucking snow,2
Wishes she could have gone to <PERSON>'s funeral! :(,2
"I can't fly, my wings don't work so I	Get high so my feelings ain't hurt	Fuck the world, don't ask me for shit	Dead and gone but it still don't quit.",2
i never thought that i could be so wrong about you twice....,2
it's my birthday. i get it. so don't tell me happy birthday. i already heard it enough from my family,2
I can't believe Michael Jackson is dead! ):,2
At least 15 dead as israeli forces attack Gaza aid ahips!!!!!!! i hhhhhhate israil,2
i feel invisibe. ugh fml!,2
i wasn't the son my father wanted,2
THE END IS NEAR WE ARE ALL GOING TO DIE,2
getting heart broken is the worst thing ever!!!   :(,2
annoying children must die,2
I can't believe Michael Jackson is dead! ):,2
"When youÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢re sad and alone, the only one you can truly depend on is yourself. ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Zetsu",2
school be messed up,2
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",2
"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",2
"omg, y is life so difficult??? when one door closses another one opens, well where the f*** is the other door...",2
"In my line of work, I rarely have the opportunity to actually refuse anything; as such, I really appreciate all of the invites and requests regarding lame-ass Facebook games.  Flatly ignoring them is quite cathartic for me.",2
IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,2
"life's confusing... sometimes you feel happy, sometimes you feel sad... sometimes you're sad because you're happy... that's just so damn retarded...",2
"I wish <PERSON> would phone or email me. He should be in Seattle by now, he's been gone almost a week and not a word. :(",2
"Just spent two hours cleaning out the basement of boxes and miscellaneous items that were in them. Must've been about 40-50 boxes...Now most are in the garage because we have yet to go through all of them. Yay, I get to look forward to this in the Spring and Summer AGAIN.",2
"Pizza reaches home faster than Ambulance & police,  Car loans @ 5% and education loan @ 12%, Rice is Rs 40/- per kg but SIM card is free, The footwear is sold in AC showrooms, but vegetables, that we eat, are sold on footpaths...Got to change something here...",2
My friends are going back home!!! I'll miss you guys so much!!! :((,2
Need to be extra careful now a days. flu...conjunctive eyes...typhoid .........are the most common results of ignorance :(,2
birthdays don't feel like birthdays anymore,2
:'(,2
"JUST SO I UNDERSTAND THIS... YOU PASS THE NORTH KOREAN BORDER ILLEGALLY YOU GET 12 YRS. HARD LABOR, YOU PASS THE AFGHAN BORDER ILLEGALLY YOU GET SHOT. YOU PASS THE AMERICAN BORDER ILLEGALLY YOU GET A JOB, DRIVER'S LICENSE, ALLOWANCE FOR A PLACE TO LIVE, HEALTH CARE, EDUCATION, BILLIONS OF DOLLARS SPENT SO YOU CAN READ A DOCUMENT. WE CARRY PASSPORTS IN OTHER COUNTRIES OR FACE JAIL TIME. REPOST THIS IF YOU AGREE",2
Scared. I hate this feeling. Im never scared.,2
Holy shit... Still playing with go to meeting.... Tech support.... Help... Help.   Mama's tired,3
Is exhausted. I think <PERSON> has colic. She wrenches her back and cries forever. Mostly in the morning though and right before bed. Ouy!,3
"When youÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢re sad and alone, the only one you can truly depend on is yourself. ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â Zetsu",3
"Ergh, Anatomy, 16 page outline AND 15 pages of pictures to label by TOMORROW, I curse you procrastination. May you rot forever in purgatory",3
ABCDEFUCK,3
school be messed up,3
florida virtual school sux ass,3
"<PERSON>       No matter what your party is, this is not the time to point fingers.  This woman and many other people were attacked by a person that should have been out of society.  I have everyone in my prayers to include <PERSON>, and I am a hardcore conservitive.  Remember that this is America and we can all think differently, this should not result in what happened today.  God be with you",3
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",3
"Just got back from handling class/shopping a little while ago. I was trying on some heals for my rotc uniform, which was a bad idea since my ankle got irritated in class. When i put the heals on, i could barly walk in them and my hurt ankle was litterally popping and rolling.... So much for getting better. :/",3
"The Government is lost to the <PERSON>, an alien Empire that gives free food and med to the world but not all are so trusting. A loose group of families  the media calls the unmarked flee to the remote areas of the states, Provence and ghettos of the world.... just what in my head!...",3
how many times do i have to mistreat you constantly biting my hands as i feed you ?,3
conspiracy theory. My land lord thinks I'm stilling light bulbs from my own house. How can they go bad he asked me. Hum let me think. He's right light bulbs never go out. What was I thinking. So any way hit me up if you need a light bulb. I have so many. And maybe I can even get you a magic bulb that never needs replacing. O MY GOD,3
IS SUPER STRESSED AND ITS JUST THE SECOND MONTH OF SCHOOL..D:,3
Ouch.....my head,3
the squirell is dead and im sad :'( lagrima,3
Babe I'm not drowning in your silent eyes. So who died and make you king of anything?,3
"Caaaan't sleep D:,And I've got to wake up in a few hours for work D: D: D:",3
:'(,3
"Everybody hates me now, so fuck it,	I'm not afraid to cry, but that's none of your business!	Whose life is it? Get it? See it? Feel it? Eat it?	Spin it around so I can spit in it's face.	I wanna leave without a trace,	'Cause I don't wanna die in this place!",3
"I am SO tired of family drama.  It seems like the older you get, the more convinced you are of the right to act like a total asshole.",3
So tired been up for 22 hours and I still can't go to bed it's shitting me off,3
sick and tired of being sick and tired!,3
Scared. I hate this feeling. Im never scared.,3
I AM SO TIERD OF THIS JERSEYSHORE SHIT.THEY NEED TO BRING THOSE CAMARAS TO MY NECK OF THE WOODS I WILL SO THEM REALITY.,3
my body hurts..no mas beer!,3
YA ALLAH....... HELP US.....:'(,3
"y does every1 i like soo much breaks my heart? little by little i break down, i cant stop my emotions, i cant understand it either...im losing it..idk wut to do w/ my life..i thought i knew but now i dont noe..",3
bad night. didn't get home til 4:15.....sometimes I wish...,3
I hate my phone with a serious passion and wish it would blow up sometimes.,3
i think this last week has really changed my perspective on a few things....i will never go to sleep angry ever again....and will always say i love you b4 every departure...i tried being angry at my brother and hung up the phone on him and he died that ni,3
Mehh. fuck you cw. FML.,3
my birthday sucked!!!,3
I really hate screwing up but somedays i am darn good at it :(,3
is sick of the Dodgers' crap.  Why do they have to get my hopes up every year?  They're garbage.  Manny is garbage.  Their pitching is garbage.  They haven't been fun to watch for two months now.,3
"well, we're in the hospital. my poor baby has had two spinal taps. we still dont know whats wrong....",3
Ive finally realized that my babies (monster)mom is someone I don't even want to be around she has become a stranger to me I'm beginning to hate her,3
"good night, i hate you all, especially you.",3
is annoyed at her stupid neighbors for practicing piano @ 10 o'clock!!! go 2 sleep u freaks!,3
I hate getting the stomach flu i would rather have a severe cold for a week,3
hates the Lakers. Hates.,3
the boring life is back :( ...,3
"<PERSON>broke her leg,oops she won't want to do that again!!!!!!!!!!",3
severe anger,3
SICK AGAIN !!!! HATE IT !!!!!,3
"It's 4am, I'm been up for more than 24hrs and I still can't sleep :(  Insomnia sucks.",3
"you played me till i left, now theirs nobody left to hear your complaining-- im gone. and all your hearing is your own damn echoes, and im gone and your all alone hearin your own damn echoes. disgusted with trust, ill trust no one no more. just went with the flo, found myself on the floor.",3
"Its easy 2 obtain it all, but y its so hard 2 maintain it all,,,,,smh",3
just found out the worst news ever so whatever,3
good bye grandma.. i hope u reach a better place.. we love u.. :'(,3
i hate the way she smile. so plastic! so stupid and yet so pathetic. CHAR!,3
This day could not possibly get any worse! :/,3
Well no final decision til the 26th....=( judge got pissed off and told us hed had enough....,3
I hate <PERSON> and <PERSON>,3
:'(,3
im so noob! i cant take this shit!! :(,3
I love you mom. I dont want you to go but it hurts to see you live in such pain.,3
"doesn't feel well at all =( ..sick to my stomach, dizzy, light headed..maybe a nap will help, i hope.",3
the lady you order food from 525 is rude as fuck wat a bitch,3
"The worst way to miss someone is 		when they are right beside you and yet you know you can never have them.\\""""",3
you just killing me inside,3
"Look, if you are really uncomfortable with drug use, stop pretending as if you are neutral. Your indecision comes off as damp with prejudice and disingenuity.",3
took my temp and I'm running a fever of 101.2.  My whole body aches.  I feel like crappola but I have to work tonight cuz I can't afford to take it off since Curtis feels the need to steal from his wife. Fingada!!,3
wishes i could of skipped this whole year and be 16 now..........this was the worst birthday EVER!!!!,3
"I'm sick of stupid people that just criticize how i am, get a life seriously -.-, i'm how i am and i'll not change cause of your stupid words so shut the hell up and stop.",3
what a sity day of mine,3
is seriously sick. :(,3
learned all the new ways Oregon is scewing people on their 2009 tax return to fix their current budget problem.,3
"Worst thanksgiving ever. Broke mand hand, got a cast, and wont be able to play basketball this season or any other sport for the next 2 months. F**king great",3
hates naggers!!!,3
What a shitty day! first my car breaks down now I'm in the er with branden becuz he decided to punch the floor! Arrgh!,3
Actually make that a horrible day. text me,3
Being without a car is Horrible... HORRIBLE!,3
Is feeling rough...I have pluracy and a sinus infection and issues with my incision...be happy when I'm better !,3
Just an FYI for a certain person out there..if you dont want me to know something and want it kept secret then GET THE F#CK OFF FACEBOOK..Dont ask my kids how I knew and get pissed that I know. Ask me or get off here,3
"I think my arm just fell off, 5 games 3 days with no ice is not good!!",3
i hate tennis racketts!!!!! got hit in the eye today by one in gym......,3
"Car f****d again after only getting it out of the garage on tuesday.  Laptop crashed and had to get windows reinstalled, f**k you Bill Gates and Microsoft.  and to top it all off it is raining.  Saturdays gotta love em",3
I'm so sick and tired of being admired That I wish that I would just die or get fired And drop from my label and stop with the fables I'm not gonna be able to top what my name is And pigeon holdin' to some poppy sensations They cop me rotation at Rock 'N' Roll stations And I just do not have the patience To deal with this cocky Caucasians,3
WTF WHY ARE YOU CHEATING IN A GAME OF THIS IMPORTANCE THAT WAS A CLEAN HIT ANYBODY COULD SEE THAT.YOU REFS ARE SORRY SACKS OF XXXX AND COULDNT CALL A PLAY IF YOUR LIFE DEPENDED ON IT.WHEN A RECEIVER CATCHES A PLAY AND GET HIT THAT IS FOOTBALL.IT AINT ALWAYS PRETTY IF YOU WANT PRETTY GO WATCH A BALLET.THE RAVENS ARE GOING TO START HURTING THE COLTS IF THE REFS DONT STOP CHEATING!,3
Is feeling especially racist against Americans today now that they've fucked up skins!!THE IGNORANCE!!!!!!!!:'(,3
"My Junior having fever, cold, dry cough and runny nose. I am so worried and concerned. (sigh!!!)",3
Why can't exs just DIE after you are done with them!?!?!?LOL......seriously!!!!!!!,3
*sigh...        You suck!! -.-        ....people dont have trust anymore.......and they end up believing some crap..... and the equation always ends up in an slaps and anger on the wrong person??.....nice..... and im very sleepy.....and im venting out on fb.... :@ :/ -.- T.T,3
this is your life and its ending one minute at a time.,3
"I <PERSON>, HERE BY DECLARE ALL OUT WAR ON MATH! YOUR GOING DOWN FUCKER!! YOUVE PISSED OFF THE WRONG BRAIN AND IM GONNA KICK YOUR ASS SO HARD YOUR GONNA SHIT OUT YOUR EARS AND PISS THROUGH YOUR NOSE!!",3
"Whomever invented the basement should be dragged out into the street and shot... repeatedly... then revived, allowed to recover... and shot again in the face.",3
will somebody out there please shoot me already,3
Mountain Biking: my personal version of Hell. God must have been in an ironic mood when I was born.,3
started school tuesday and got hit with the frankenstien virus im so freakin sick now things i need to do and i have a test tomorrow how am i gonna study when i cant evn breathe,3
HEADACHE!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,3
I'm so done right now...I hate this feeling of being lost I'm so used to being in control,3
i hate the fucking snow,3
OMFG!!! why? simone why? well that has ruined my sunday,3
"My heart is broken for my sister. Her husband died today. She is a total mess, but I will help her get through this. I am strong enough. Maybe if I tell myself that enough, it will come true.",3
stayed up way to late last night.... and has a LOT of work to get done today  :(,3
Wishes she could have gone to <PERSON>'s funeral! :(,3
"thinks <PERSON>is a dick and needs to get off of his pedestal ,)",3
"Great, now im ill. Fate is a conspiring bastard.",3
Poor Abraham Lincoln its to bad you an Barack Obama can't trade places. Anti Obama I hate that guy. F_ _ _ you Obama your biggest fan RFM.,3
its 1:30 and im not tired and my nose is in searing pain!!,3
got a gun pulled on him last night,3
"thinks that for girls, boys are easily found. But GIRLS don't realize they need MEN!!",3
Is exhausted. I think <PERSON> has colic. She wrenches her back and cries forever. Mostly in the morning though and right before bed. Ouy!,3
"Ergh, Anatomy, 16 page outline AND 15 pages of pictures to label by TOMORROW, I curse you procrastination. May you rot forever in purgatory",3
ABCDEFUCK,3
Driving to cape may for the weekend now. So bored...,3
"according to nbc news people getting social security won't get an increase bcause the cost of living isn't going up, because the inflation rate is negative.....          first of all the cost of living is always going up, second of all the inflation rate is not negative, and third: if i was negative it wouldn't be 'in'flation, it wuld be 'de'flation",3
"After a discussion on the environment and our natural world (that we're destroying) a 7 year old raised her hand with something to say.,Well",3
"How can a cell phone that can hold tons of pictures claim that the texting inbox is full\ at under a hundred short text messages?\""""",3
I think I have spent more than 90% of time for others and less than 1% for myself. And slowly I am realizing that almost everyone in this world has almost the same statistics. It feels good as I am not the only victim but it also compells me to think if this is the ideal way of living life!,3
"i honestly never saw the enjoyment in watching people do physical activity, such as play football, who cares?",3
"not exactly a magical birthday being the first day of <PERSON> and yardah, yardah, yardah...birthday messages definitely cheered me up though! :D",3
"The Government is lost to the <PERSON>, an alien Empire that gives free food and med to the world but not all are so trusting. A loose group of families  the media calls the unmarked flee to the remote areas of the states, Provence and ghettos of the world.... just what in my head!...",3
conspiracy theory. My land lord thinks I'm stilling light bulbs from my own house. How can they go bad he asked me. Hum let me think. He's right light bulbs never go out. What was I thinking. So any way hit me up if you need a light bulb. I have so many. And maybe I can even get you a magic bulb that never needs replacing. O MY GOD,3
Being sick sucks.,3
did'nt realise how bad a dead leg could be.... 4 days.. and its still as bad as day 1....WTF,3
"I accept full responsibilty for the all the wrong I've done,If you thought I was perfect,I apologise for being human ,But never again ,You can put my life on that",3
do i have DOORMAT written on my forehead...?   =/,3
Ouch.....my head,3
There's apart of me that really misses other worlds...and longs to live in one of them right now.,3
Rest In Peace <PERSON> I Will Never Forget You.,3
Been about two weeks since last Tae Kwon Doe Lesson. This is going to hurt.,3
"Life is full of fake peoplBefore you judge them,make sure you are not one of them.",3
"Antibiotics are kicking in...trying to cough up my lungs, but at least not feeling so run down.  Just in time to go home tomorrow morning....good times.",3
Kinda upset at a couple friends but I might have a job so they aren't that important. Are they?,3
"They may want to take Christ out of Christmas, but they can never take Christ out of me. If you are not ashamed of Christ then post this as your status for 1 day as a light to the world. Most people will be to ashamed or scared to do this. Remember Jesus Said. Whoever acknowledges me before men",3
Life is a matter of choice. Why do I often make decision and in the meantime feel that I have to be responsible for what I do not choose??,3
"mistakes will always come back and haunt yooou.  i regret something for the first time in my liffe, i hate this feeeeling.  <3",3
the squirell is dead and im sad :'( lagrima,3
"sorry to all the farmvill and mafia players... But, i dont think ill be doing that.",3
We tied South but soooo should hav won!!!!!,3
uhh i hate it when the instutor lets us go early and i have to wait anthor hour for my next class to start.,3
Bummer...my Cowboys.....,3
"They just robbed that man on So You Think You Can Dance\!!!!\""""",3
"Caaaan't sleep D:,And I've got to wake up in a few hours for work D: D: D:",3
Oftn usd to say ma momm tat i vud neva miss her .. Bt 2dae am missin her .. 2 mch ... Luv u mom .. !!,3
Bored...cant wait for <PERSON> ta come over so that i have someone ta talk to...really need ta talk ta someone,3
awwwwwwww the cowboys r losing...........stupid vikings,3
"if you can't make my life a little easier, which i fully deserve, i will have to make yours a little harder, which you also fully deserve.",3
Why do creepy old men that I don't know insist on adding me as a friend?,3
"I am SO tired of family drama.  It seems like the older you get, the more convinced you are of the right to act like a total asshole.",3
Its hard to be optimistic when it feels like the world is against you... ALL I WANT IS A FUCKING CAR!,3
is memory full! can't think of anything today........grrrrrr.....!,3
SCHOOL TOMORROW DANGIT,3
SICK OF CRYING TIRED OF TRYING YEAH,3
bored as crap,3
So tired been up for 22 hours and I still can't go to bed it's shitting me off,3
am i d 0ne to blame??????????,3
sick and tired of being sick and tired!,3
thinks that being sick is so not cool...,3
"Sad. Sitting in Coffee Shop, Planing my plan.",3
I AM SO TIERD OF THIS JERSEYSHORE SHIT.THEY NEED TO BRING THOSE CAMARAS TO MY NECK OF THE WOODS I WILL SO THEM REALITY.,3
