Anonymized Message,Arousal
is hopeful with this home investment plan. :),2
"You and I wake up in a police cell together. Using only 4 words, what would you say to me? Note: If you comment, you must copy and paste this to your status, so I may comment on yours as well.. Be a good sport and play along... 4 words is harder than you think",2
so i loving living in florence only because i hear it is like 100 every were else and it is so nice and cool here i can go out in shorts and be just fine :) :) love and miss everyone,2
omg the stupid weather...,2
Global warming meltdown - beat the new pagan religion,2
"time is me & i should know, i knew this several months ago. I knew more than i do now, for I've been turned around somehow.",2
is hoping for some decent weather this weekend....,2
when you think that the fire is out stir the coals and throw another log on it. this fire is no where near burnt out.,2
Such a nice day :) Sadly I'm spending it doing homework.,2
Almost done unpackin. House looks beautiful. Lovin life...,2
The heater and the hot water in my building arent workin. Im about to crash someones house with a bag of cloths and a bar of soap.,2
SOOOOO TIRED,2
wiide awake....again....my puppy dog is sleeping great though...,2
i eat a faqyt dik when i sck a fat pussy,2
Still waiting on that life changing phone call... maybe tomorrow...,2
i got converse shoes :),2
"i had the best time lastnight it was only the first half day of spring break but me,r<PERSON>,<PERSON>,<PERSON>,<PERSON>,<PERSON>,<PERSON>,and <PERSON> had the best time we did so much and we still have a week to go. God i love my friends",2
hopes he can stay at this really good job. I am so afraid of what could happen. Not for me...no. But my wife and kids. I'm who they depend on for substance.. to provide for them. To fail them would be hearbreaking. Pray for me to keep on keepin' on and trust in God to provide no matter what the outcome might be.,2
"man these quizzes are fun ,idk y i do them",2
thank u all for the greetings:) it made my day happier to know how many woderfull people in my life are exist:) thanks all,2
Anyone got Marvel VS Capcom 3 for PS3? My PSN is Driaz1,2
Butt set....lol.,2
is still getting used to this place o.O,2
"I feel like I've been lied to all my life. But in a I'm happy I have been kind of way. Probably doesn't even make sense, but that's ok.",2
well i'm out of here fb until next time peace & love...,2
did not buy myself flowers.... noooo.,2
did not get drunk on his 21st birthday. And they said it couldn't be done...,2
You are even more disgusting than I thought...,2
My body apparently thinks that sleep is overated.  Glory Glory Insomnia... I guess I can get used to constatnly opperating on 3 to 4 hours of sleep.  *blink*blink*,2
"hey frens,,, i lost al ur contact numbrs in ma cell.. pls forward ur number 2 ma cell plssss",2
hard day today gonna have a long rest till the next time :),2
hates wen you lock up somthing and get it wrong an instintly now how to spell it corektly,2
i never really knew that you could dance like this...:))=)),2
So Far We still have school tomorrow :'(,2
"Ok, paranormal activity 2 is actually pretty scary, and definitely more than the first one lol",2
grr i dont know where is the phone :/,2
Just realized somebody accessed my profile and added strange applications to it. I'll take care from next time onwards to keep my system locked when I'm away from it.,2
well it's about time i updated my photos...,2
i passed my grade :(,2
Life indeed would be dull if there were no such difficulties.,2
Celebrated my first borns first birthday yesterday. Still can't believe a whole year has gone by already. Just thanking God for my many blessings.,2
hey thnks to all of you...,2
Paitence is a virtue i really need to work on.,2
"I'm sick of stupid people that just criticize how i am, get a life seriously -.-, i'm how i am and i'll not change cause of your stupid words so shut the hell up and stop.",2
staying up for 24 hours straight is not a good idea but it was worth it,2
"I had been invited lately by three friends to grace their respective daughter's grand day -- 2 birthday celebrations and 1 baptismal...that is consecutively...i missed the birthday celebrations but made it to the baptismal reception...my apologies to <PERSON>and <PERSON>..my birthday wishes to both of your angels and to <PERSON>,<PERSON>is such a dolly...",2
When we were young there was nothing to worry about. Life is wonderful with no problems...what happened?,2
just chillin on my day off tell i go watch my kids,2
<PERSON> Happy Mother'sz Day : ),2
"hey,everyone.  finally got on my facebook account... do everyone forget me already??",2
"Well, after Friday night, I'm feeling abit better going into work today. Nothing like a party and some time with friends to recharge the batteries.",2
is a love that flows  Through me like this  This will fall away,2
"You've never felt true pain untill you sneeze hot, spicy sausage out of your nose",2
"<PERSON>is very happy about her drawing tonight(see new profile pict) If you want to see it clearer check out my deviant page, it's driscoln-me. (Oh and do it fast because i might ruin it when i try color",2
"Man, I have to start getting up early more often. :-|",2
", with the help of his friends, one <PERSON>, and super reggae artist Snow, had one of the best birthdays in history.",2
"Freedom is a package deal -- with it comes responsibilities and consequences...\\""""",2
"More atrocities have been done in the name of religion than any other cause. for example, 9/11, the crusades, the inquisition, witch hunts, aztec human sacrifices, islamic jihads, roman persecution of christians, the thugee murders, child molestation, homosexual prosecution, racial prosecution, the buddhist burma incident, numerous incidents of jewish prosecution",2
what a sity day of mine,2
"Listening to <PERSON>, and wanting to watch Twilight. Also wondering where someone is...",2
"Life is too         short to  wake up with regrets. So love        the people who  treat you right.. Forget about the        ones who  don't. Believe everything happens for  a        reason. If you get a second chance, grab it  with both        hands. If it changes your life, let  it. Nobody said life        would be easy, they just   promised it would be         worth it.",2
It is such a nice day out :),2
learned all the new ways Oregon is scewing people on their 2009 tax return to fix their current budget problem.,2
"Well, Thank you God for blessing me to see one more year.........",2
Q-Why uu always so quiet? A- im not dat quiet -__-,2
is going for a Thai birthday meal in Oxford. yum yum,2
Some nistakes are too much fun to only make once.,2
"I am working on my second youtube cartoon.  This one will the Grey's.  For those who knew me years ago.  It is the Stupid Squad, but I felt a name change was in order.  So I do hope you like it.  I should have it up tomorrow.",2
is hanging with familly at lake,2
"I go crazy sometimes, I go crazy tryin' to keep you from losing your mind. -<PERSON>",2
just ate some hamburgers and now i am gonna go chill,2
"never make someone your priority, when all you are to them, is an option.",2
"My favorite bruise is fading, almost gone, but not the memory, not for me anyway.....",2
I got elbowed in the mouth playing basketball today.  My lip looks like I got a bad botox injection.  Damn Im not leaving the house. Like I need fuller lips really.,2
Remembering the ones who died in the islamic terror attacks 8yrs. ago.  I was at BPC waiting for Bel to get out of class and overheard someone say a plane crashed into a building in the student center.  Then spent about 3hrs with 15-20 people watching one small tv news.,2
"A-Team Football: Knox 26, McCullough 0.",2
"is at Wegmans using the Wifi to finally check everything... and pay some stinky bills. Oh, by the way, Roadrunner can suck it.",2
"I'm selling some college books if anybody's interested.  College Algebra, Applied Ethics, and World Cinema.",2
"i never realized how many great pics of great people i have. Im trying to bring them over to here.  fun fun fun.  We went to the dali museum today, I haven't been since 98, then we played at the park.. It was a spectacular day.",2
reality bites. ouch...,2
just got back really...really...cold,2
What would you do if I told you there was cheese on the moon?,2
"Im sick, I'm tired, and oh yea, moving takes a lot out of you.",2
Love is giving someone the power to destroy you but trusting that they won't <3,2
trying not to sleep all day long,2
is not going to school today :D.,2
today feels too good to be true. when will that other shoe drop?,2
...So I've been told it's Pokemon month. That's cool/ This one looks kind of cool. (I hope I remember to swap back in a month.),2
has another baby with reflux :(    thankfully i knew the signs this time around and we caught it early,2
It's against my religion to go to church,2
"if only i could find a boy that won't lie and decieve me,one that could just talk to me instead of want to be all over me alllll the time, all i ask for is a friend",2
We all die eventually :D,2
i guess no one loves me no comments in 3 days oh well i still have ppl that let me know in there own way lol,2
36 hours of freedom left....!,2
says almost all guys are untrustworthy...,2
you will never see my caring side anymore.,2
realises that with no homwwork there really is nohting to do before youth,2
Rest in peace nick. Things won't be the same anymore when I go back to manila without u there. Goodbye friend.,2
mind the language in the last post.... It's rated a little higher than pg-13,2
"uuhh , just saw my very first saw movie (6) im feelin kinda twichy",2
Thx to the one who showed up for my dinner..,2
"Facebook has shot down the idea of charging all of its members (the company's COO Sheryl Sandberg in April said, We are not planning on charging a basic fee for our basic services\). But the site may have plans to put a price tag on services""",2
"Sleepless.	A mix feeling of happy, worried, excited, confused, ambiguous, angry and desperate.",2
I'm 35 today - Therefore I am now officially announcing my candidacy for president.,2
metaphorically loves stabbing himself.,2
"could get a katana for $20 at Knife Works, if i really wanted to do so... other wise i'd be paying $30. for one... im so tempted... but i have to wait til next check and im paid on tuesday... too bad that money will be towards rent *sighs*",2
Actually make that a horrible day. text me,2
glass cuts faster and deeper than a knife the luver bleeds slower than the heart i should have tried to difusse that glass bomb naked now im all shiny and red =],2
is in an Empire state of mind for far too many reasons.,2
thank u everybody for wishing me.,2
For nothing is impossible with God.ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â <URL>,2
I was absent to my online class? there's something wrong with that,2
"The happiest people don't have the best of everything, they just make the best of everything they have.",2
"Humm, no,,,, I'm stopping and I'm praying. Interesting, how much longer, I know I'm far from a saint, but I know what I need to do, Get on the Cross He Has",2
Wishes she would find someone to love her for who she is and she can love back.,2
i have a feeling my doggie will have puppies today :],2
i want to be free...lubayan nyo na ako.bkit ayw nyo mging msaya.....:'( I sent you a smiley! Want to see it? <URL>,2
I am on cloud nine right now.,2
So here i am again in the middle of the end and the choice i wish id made i always make to late.,2
today is lamee saucee my friendss.,2
iz can has lucy wig?,2
Dr Phil is a fat man who sold a diet book to most of the country.,2
is looking forward to girls' night. <3,2
I hate this kind of heat.,2
Tom Hanks was right........I'm sleepless in Seattle,2
can haz beer with her cake plz?,2
"If you have any history or family history of ovarian, cervical or breast cancer then you need to have these test done annually.  I have to have a hysterectomy on Oct 12th.",2
#76 I cant belive i actually got to talk to a girl on Chat Roulette and a cute one ontop of that,2
"Congratulations to Magnificent <PERSON> The only utterly un-celebrated five time\ world champion....\""""",2
"My novel about gay ppl is going to be as popular as the hero Velcro Man, who fixes the velcro on the pants and shoes of ppl lying under rubble. I just get that feeling.",2
Thank You All for such a wonderful Birthday,2
"People look at me and think I am strong.She can handle it.\Do they really know how I feel?\""""",2
Today my son <PERSON>turned 8 so we went to Chucky Cheese and then to Logans for dinner.  We had an awesome time.  Sometimes I wish they didn't grow so fast.  I miss the time when he was a baby and I would fall asleep on the couch with him on my chest.,2
A man from town shows up at your farm and says that a busload of outlaws escaped and are heading into the mountains. You've been retired for ten years and you're the only man for the job. How do you respond?,2
"Wow <PERSON> got his ass beat up for 4 1/2 rounds and managed to win, I still can't believe it.",2
"Hey, anyone who has year one german with Haar, what did we have to do again? I know it was a worksheet but what?",2
"Love me when I least deserve it, because that is when I need it the most.",2
"World lost a great man today, RIP MR. Elmore, U will never be forgotten",2
"Idk why people are making a big deal bout the Jonas bros or Justin Beiber they are just people, but they can sing?",2
american idol season 8 on star world <3,2
Just got finished studing for Civics final and Science test. School Dance with <PERSON>tommarow.,2
"Saw Eclipse wed. night best movie I've seen all summer, so fat",2
Advance Merry Christmas sa lahat ng mga fb reryan,2
"<< Without you, one night alone, is like a year without you baby >>		---Soundtrip usa ta bago magstudy---	<3 <3 <3",2
"Dear friends,        Thank you for your kind wishes. I had as good as a birthday as one could at the ripening age of 24. I sincerely wish for the best for you all.        Best,     <PERSON>",2
Thanks guys for all the Bday wishes...=),2
Mondays are the potholes in the road of life.,2
"got the house to myself for 48hrs, going into a vegetative state and taking the cat wit me",2
"Read one right after the other. <PERSON>: ... it is hard to find reliable cheap indicators saying when contrarians are more likely to be right.\ <PERSON>: \""Correlations between people who criticize a thing and people who misunderstand a thing are necessarily more instructive than they realize.\"" I love it when disparate bits find me.\""""",2
Getting ready to go out with the babe...,2
annoying children must die,2
dreams country roads that takes him Home,2
regrets not taking more unglam photos of the people who took unglam photos of me.,2
"ok my Urban Dictionary meaning... LOL....An extremely attractive girl whos flirty personality and curvacious figure will keep you coming back for more. She's typically a brunette but occasionally acts blonde. She enjoys long relationships and has many close guy friends. Often mistaken for a slut\ but really isn't. She can also be a super bitch if you get onto her bad side....\""""",2
"todays a nice cool day -_-\""",2
Had a really good cut of steak last night.  Now I'm craving tons of red meat like there's no tomorrow.  Is there anywhere that will deliver steak?,2
"got to be acting Academic Team captain at Quiz Bowl, and it made her very happy. Hermitage Team came it second-to-last, but it was still loads of fun.",2
Anyone out there know any children's book agents,2
i dont get this shitt,2
had a tooth out today and is feeling very sorry for herself,2
Dance off with Britney Spears.,2
"another week, another paycheck its nice to have a income but nicer if I could spend it.",2
Depression is when you over-estimate the under-deliverable. Hope is when you miss last part.,2
Who knows the 3 D's,2
People Private Concept Take #2 - ELAS NÃƒÆ’Ã†â€™O PAGAM Vocal Act LAURA MELO ( Cascais ) & Djs What The Funk?! ( Residentes Twin's Lx ) | BAUHAUS,2
I'm studying for a history test...and i'm super duper tired,2
trip to mall with karah was a total mess,2
happy turkey day everybody,2
"champion match, only need one more win but have to lose twice ....let's do this",2
i love you from your toes to your face,2
"Please put this on your status if you know someone, are related to, and adore someone who has ASD, PDD, ADHD, ADD Autism or Aspergers . These misunderstood, so called trouble maker\ kids just want to be treated like everyone else and can't speak out. But we can raise awareness ...... 93% won't copy and paste this""",2
" there is no such thing as conditional love. Love is either unconditional or it's no love \\""""",2
"<PERSON>at age 3 yrs has graduated from calling me mommy\ to calling me \""mom\"".  \""mommy\"" is for babies.\""""",2
Today was a pretty easy day. Tomorrow thats another story. Hope everyone has a better day tomorrow than they did today. Gudnite FB talk to yall again tomorrow.,2
I lov listenin 2 lies wen i know the truth,2
Im going to get all of my friends back how i dont know but it will happen,2
mountains<3,2
<PERSON> the wild thing totally looks like seth green,2
If any body wants to play reach with me hit me up,2
"Beginning of August, and the Tigers are in their usual second half of the season death spiral.  Turned off today's game at 12-1 in favor of the Sox",2
Thanks again everyone for birthday messages,2
Great class on the hero's journey.  We watched Stars Wars. Makes for such a good night.,2
well today was better than i expected(: tomorrow's gonna be better,2
to all the fb family thanks for you bday wishes,2
"has just be to the carnival with Louise n Tarron, Dad n Jayden. Been running round after Jayden an am knackered but Jayden enjoyed himself bless him.",2
i like to wish everyone a very happy valentines day,2
My friend goin to the winter olympics,2
Life always have a lessons....Life is my school,2
LOL,2
"sittin at home with my lil man waiting for him to take a nap, nothin to do today hit me up",2
where bellvedear?,2
Is doing compo now.,2
"Automobile for a man and cosmetics for a woman goes through same analytical        process before buying\ - Prof Dutta         Sorry bansal but simply loved it so copying :P\""""",2
"eatin pizza, cought on fire welding.... running out of pizza.....finally 16",2
"Rain, rain, go away come again another day...",2
"happy navratras to all ,,,,,,,,god bless all with happiness ,health and luck",2
Ready to get home with <PERSON> and get our snuggs on.,2
thanx po sa greetings..,2
eng2 :((,2
"I was in the pub with the missus last night, and I said, I love you.\ 	She said""",2
Things turn out best for those who make the best of the way things turn out,2
"The difference between try and triumph is a little 'umph'.\\""""",2
I know a place where the grass is always greener,2
aparantly there is a shortage of colgate every body chuppzin,2
Help\\n,2
"tell me when the pain is over, its been there too long im bored of it",2
Less than two hours until my Grandma's surgery.,2
Oh to a green lump of putty i found in my armpit one midsummer day,2
"Just got back from snowboarding, and is still struggling to sit down. Wipe-outs hurt....A LOT. many thanks to<PERSON> for lending the gear. it works great and kept me nice and toasty on a very cold day on the slopes.",2
Today is my last day in the states for a bit. China (for real this time).,2
"and on January 23, 1995 at 2:30 a.m. NEMMC......God said let <PERSON> be born unto two parents.  That was 15 years ago....but tonight at 2:30 im looking for that same miracle.",2
Busy working on the North Slope of alaska its so beautiful and diff. here like never you could ever see anywhere else. But i still miss my family,2
At the airport. It smells like old ppl in here:(,2
Just got back from the Rennissance Festival up in Minnesota with my brother.  He has videos... He will likely be blackmailing me shortly on facebook and myspace with them... Ill be posting pics\\vids or at least links as they become available.,2
<PERSON>..i want my money back....,2
"Thoughts for the New Year:  God won't ask how many promotions you received, but He'll ask how you promoted others.",2
hi peoples,2
"Looking for a good guitar, I'm a beginner, any recommendations?",2
gimme some siomai babeeeh....,2
"Let me just quote the late-great Colonel Sanders, who said...I'm too drunk to taste this chicken.\\""""",2
My new crazy family: Daddy Limbad Mommy Inez Kk Ryan Kk Joko meeee Dd Fiona Dd Vickshiong Dd Steven Dd Joshua,2
ya we had the best fathers day ever............ i luv u daddy...... gud nite facebook.....,2
"when it comes to pass a test, kindergarten is the best",2
"has decided his kid will be called, <PERSON>..",2
"says, Every turkey dies",2
Trying to take my mind off the fact my heart is hurting. So I'm watching episodes of Martin my mind is so cloudy.,2
19 years old today....no big deal ppl,2
Make it work,2
"at my new house trying to paint, fun stuff",2
this is your life and its ending one minute at a time.,2
"Promise of the day - John 10:29 - My Father, which gave them me, is greater than all; and no man is able to pluck them out of my FatherÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s hand.",2
uhhh part 3???,2
"Wishing everyone a happy new year. May your friendships grow closer, your love deepen and your happiness never fade. May this year be better than the last.",2
"Now if you know my name, you'll learn how deep to sink; Where rapture lies, I wait just beyond it's brink",2
Why is there never a job opening for an executioner?,2
Everybody see's it's you I'm the one that lost the view  Everybody says we're through  I hope you haven't said it too  So where  Do we go from here  With all this fear in our eyes And where  Can love take us now We've been so far down We can still touch the sky,2
"Oh yea, this is in Haiti.",2
"<PERSON>, <PERSON> Please Hurry Up And Come. So Mommy Can Fit Inbetween The Counter And Refriderator",2
It was about time for a change.,2
is looking for a few more people for fantasy basketball.  Anyone on here interested?,2
I'm getting better...I hope... *smiles faintly to the crowd of onlookers*,2
` that's what you get for waking up in vegas (8) .,2
"Having my wisdom teeth cut out Tuesday, hoping it's not gonna hurt too bad. :/",2
"ok yes bdo show was algood, i got to catch up with like everyone nearly but i did get myself some sunburn :/",2
Such strange dreams. I mean really.,2
will somebody out there please shoot me already,2
"well had a great night, got up took down tree, son got in bath, wife and i did couple devotions, played a game with zadok after bath ate and went to work God is so good.",2
sooo tired but can't seem to sleep- bugger,2
anyone know if miller's outlines are do tomorrow and when the other outline quiz is?,2
I love my CBR600RR,2
she gives me presents with her presence alone,2
"these last three days have been quite epic..... tommorow looks sweet as well. But first, I sleep.",2
"So two things... I haven't looked at my wall in a long time... so thanks everyone for the birthday wishes and all the kind words... it really means a lot to me.  :)  Second, today would have been my best friend's 32nd birthday.  She died almost 16 years ago- Rest in Peace Becca.  You are always in my heart.",2
being free is living your life fearless...,2
thinks his other facebook got hacked :(,2
watching truck racing w the bf. pretty cool if I do say so myself,2
"Sometimes you need to be strong,and admit that you are weak.",2
A true friend laughs at your stories even when they're not so good,2
600 is filled with too many people that don't know gym etiquette.,2
"I heard em all talk, about how much they want me, but aint never had nobody put it on me. Keep doing what you doing cause it aint been done to me.",2
The fish in the water is silent,2
Mountain Biking: my personal version of Hell. God must have been in an ironic mood when I was born.,2
It's nice to have full unlimited internet access again.,2
To God be the glory.,2
Have you ever looked at a picture and had it bring you to tears b/c for an instant you think you see it in thier eyes too and if only....,2
what can I get for free?,2
studying colonialism emily lost yiying's letter-.- yiying look at this,2
"Do you bury me when I'm gone?	Do you teach me while I'm here?	Just as soon as I belong, then it's time I disappear...............",2
"Origin of the leap year, just an FYI for those interested...",2
~Without firiends life is not worth living~,2
happy birthday to me,2
"3 weeks and over 100 pages of literature on the condition of our school systems read. Just wow! Our public school systems need help. I mean I knew they needed help. I just never realized how much research there is backing up what I already believed.  @<PERSON>, you have my sympathies-- I'm conducting an interview of <PERSON> (CCSD CoStaff, Office of Superintendant) Friday.. wish me luck",2
Horseshoe N Bricks r done plz send other things.,2
ha .....................?,2
"after one week at guitars, im now the top bar top bar back, not too shaby",2
Friendship is like peeing in your pants: Everyone can see it but only you can feel its warmth.,2
I have to hold on to the big picture.,2
:(.......2/9/11......hopper...8 by 8=Gratitude beyond words.,2
"just finish reading the young warriors by V.S. Reid book i should have read from seventh grade <PERSON> you must be proud of me ,)",2
started school tuesday and got hit with the frankenstien virus im so freakin sick now things i need to do and i have a test tomorrow how am i gonna study when i cant evn breathe,2
Just sip some crystal with these real ones,3
would like to send a shout out and thanks to his little helper this weekend.,3
"Pleading... if anyone would like to do a tax credit, instead of paying what you would pay to the State, our Kindergartners really would like to go on a field trip to the pumpkin patch & with district cuts, we have to pay for our own bus.  Email me for more info - 23 kinders would be grateful!  Thanks",3
"In memory of every cancer patient, family members & friends who has lost their battle with cancer, and in honpor of those who continue to conquer!  Put this up for 1 hour if you love someone who has or had cancer. Many won't copy & paste. I am proud to. Will you?",3
Driving to cape may for the weekend now. So bored...,3
la lingaw.. sleepy na.. work napud ugma. hehehe,3
"according to nbc news people getting social security won't get an increase bcause the cost of living isn't going up, because the inflation rate is negative.....          first of all the cost of living is always going up, second of all the inflation rate is not negative, and third: if i was negative it wouldn't be 'in'flation, it wuld be 'de'flation",3
school be messed up,3
"After a discussion on the environment and our natural world (that we're destroying) a 7 year old raised her hand with something to say.,Well",3
So ive learned that things are weird not a bad  weird but a good weird,3
"doesn't like to be reminded of that i-know-wat's-gd-for-u\ attitude that gahment institutions display\""""",3
"Dogs are fantastic. Chester farts, then gets up and runs out of the room and leaves me to deal with it.",3
sooo tierd,3
"I'm hoping to go to the zoo and Great wolf....I hope I can, I hope I can......................",3
"It's true that we don't know what we've got until we lose it, but it's         also true that we don't know what we've been missing until it arrives.",3
"There is no greater gift you can give or receive than to honor your ,calling. It's why you were born. And how you become most truly alive.",3
Loves pizza..,3
"It finally cooled off enough to open the windows and cool off the house before bed. However, a skunk has decided to do his stinky business outside. Eww. Bad skunk. Bad.",3
<PERSON> is fat. =] Very Fat,3
Black hats sideways white bold LA,3
"Why yes I did slaughter <PERSON> in ping pong, thanks for asking.",3
I bought megaman 10 for my wii.  It's the hardest game ever T^T,3
fell in2 a muddy brook,3
"In my line of work, I rarely have the opportunity to actually refuse anything; as such, I really appreciate all of the invites and requests regarding lame-ass Facebook games.  Flatly ignoring them is quite cathartic for me.",3
You guys are great.,3
"I accept full responsibilty for the all the wrong I've done,If you thought I was perfect,I apologise for being human ,But never again ,You can put my life on that",3
You rise. You fall. Your down then you rise again. What don't kill ya make ya more strong.,3
"Note to self just because it says \Flammable\"" it doesnt mean its a sugguestion...\"" <PERSON>.\""""",3
Thanks for the prayers :),3
do i have DOORMAT written on my forehead...?   =/,3
Ouch.....my head,3
What does time mean to you? How would you define it?,3
Stayed up till 4 last night playing overlord raising hell. how i do not know,3
"If a doctor removed you still-living brain moments before you died, and kept it alive with a tank of fluid enriched with blood, and finally transplanted your brain into a patient whose own brain was severely damaged..which home would the patient return to.. yours or theirs?",3
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best",3
Rest In Peace <PERSON> I Will Never Forget You.,3
Been about two weeks since last Tae Kwon Doe Lesson. This is going to hurt.,3
"Life is full of fake peoplBefore you judge them,make sure you are not one of them.",3
"Antibiotics are kicking in...trying to cough up my lungs, but at least not feeling so run down.  Just in time to go home tomorrow morning....good times.",3
Talked to Banky today. That was a surprise. He sounded really good and he sounds really focused for when he comes home. Slow day at work,3
dnt get scared.... jst missing my.... darling curles....,3
"is fed up of searching for info on The Man Who Knew Too Much\. Can anyone help?\""""",3
Since im stuck in Morgantown....alchy-cider sledding,3
trying to figure out how to work this thing hopefully i get it.,3
"if theres a fat guy in a pastry shop with a twenty dollar bill and he's ready to buy, in order to predict his volume change you need to know the value of pi",3
Kinda upset at a couple friends but I might have a job so they aren't that important. Are they?,3
Why is it always so hard... and hurts so bad...,3
"Over the past 50 years <PERSON> employed 88 joke writers who supplied         him with more than one million gags, and he still couldn't make me         laugh.",3
likes hammering nails more than weeding paths,3
"mistakes will always come back and haunt yooou.  i regret something for the first time in my liffe, i hate this feeeeling.  <3",3
loui is great  in bed,3
So I finally became a member of facebook. Yay joy lets hear it for what boredome does to our minds....,3
Thanks for all the birthday wishes friends..appreciate it...,3
"New ideas in the dead of night when dreaming is natural ...\\""""",3
"Sudden change of plans. Some work I was hoping to do for my family got canceled, and that may cost me what I need to get to The Honeypot on the 27th. I should know in the next couple days if I am going thurs or not :/",3
What the hell is a tweet?,3
birthdays don't feel like birthdays anymore,3
Time to finish moving all my stuff.... lets hope it doesn't take too long,3
Babe I'm not drowning in your silent eyes. So who died and make you king of anything?,3
"Caaaan't sleep D:,And I've got to wake up in a few hours for work D: D: D:",3
what a blessed night thank you all for coming betufill double ritual night again thank you to all who came,3
im freakin bored somebody suggest something to do other than come up  with different ways to kill myself,3
poppin' champagne,3
will not be traveling outside of a three mile radius of my apartment with my mother ever again.,3
Today has been long but productive.  I think I will relax in the jacuzzi and then jump into bed.  The best part of every day must be the end.,3
is thinking that maybe agreeing to another shift after a full 12-hour night shift may have been a bad idea...even if it is only 2 hours this time! I can sleep in about 4 hours :),3
lil mans movin around so much i feel like im havin ticks.....,3
just finished watching platoon. Definitely not recommended for those with a weak stomach.,3
curses im too gulible. (wtf. i just curses....),3
time to get rdy for work T_T 2-10 i cant do anything with my day,3
a magical/super power i'd like to have would be able to see auras and other psycic powers. How awesome would life be if i had those abilities.,3
"Baby polar bear goes to his mother and asks, am i a real polar bear?\  \""yes of course. Why do you ask?\""  the baby replies""",3
"I wonder why we go to school if education is knowledge, knowledge is power, power corrupts, corruption leads to crime and crime doesn't pay?",3
Is it illegal to throw rocks at endangered species?,3
"if you can't make my life a little easier, which i fully deserve, i will have to make yours a little harder, which you also fully deserve.",3
i just want to tell everyone thank u so much for all the birthday wishes,3
thx everyone for de wishes tc and be hapi alwayszzz...,3
Man...Ilove <PERSON> so much young...coming home tomar,3
:'(,3
"Somebody pull up the walker- I think I'm ready for a home\ :)\""""",3
England Who  : ),3
live love laugh think sleep work  and then die .........:P,3
"NY has definitively a special kind of energy - making you tired, but making you want more of your life, and thinking it's possible.",3
"is dead-scared yet smiley after a face-to-face meeting with Emma... cute lil'one, she is...",3
OMG 2010 creeping up,3
Championship Or Nothing-Los Angeles Lakers,3
My Michele..life would suck without her...,3
tomorrow: birthday <3. sunday: singles awareness day :). monday: practice :/. text me?.,3
"says: Life is Music, Play it LOUDER",3
would like to say a huge thankyou for all the lovely birthday wishes. i had a lovely relaxed day now i am getting old this is all my body can take.,3
can other IT savvy people out there answer this question?  I posted it on answers and I've been trying to figure out what the hell is wrong with this stupid thing and I can't seem to find it...,3
How ya doin peeps?,3
SOLs tommorow...ughh,3
"ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œAnd in the end, it's not the years in your life that count. It's the life in your years.ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â",3
SICK OF CRYING TIRED OF TRYING YEAH,3
Owl city <3,3
i only hope everyone go an vote unc on de 24th rather than they stay home an drink like dey win already,3
Man im sore all over from excercising to hard tonight i think i pulled a muscle this time ow ow ow,3
"Here I sit @ my computer, suffering with a head cold. While Lil <PERSON> watches SpongeBob.",3
i get to wear my uniform every thursday now yay,3
"How do you say Disip in Spanish Disip Gazzman Wilton Djkompa Disip Versace Michael Adolphe Chancy , I want tell my Dominican girlfriend since have never heard of any such name..She asked me if that the name of a drink...lol.",3
About to take the JEOPARDY! Teen Test.,3
House M.D =D,3
Scared. I hate this feeling. Im never scared.,3
Yeah brithday party at shyanne house  It my god sister brithday,3
Thanks all for Birthday wish,3
"Two roads diverged in a wood, and IÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â	I took the one less traveled by,	And that has made all the difference.",3
"hmm jnr still vomiting guess I should stop giving him water and crackers, hope this is only a 24hr thing",3
I have yet to acquire the taste for beer :P,3
successfully saved his energy for this afternoon's Rag Ball. Should be quite the epic day it should.,3
"So tired.. 12.5 hours of driving is a lot for one day (that is only travel time, not including breaks + lunch + fuel).  Had a nice 1.5 weeks in k-town, unfortunately got sick for my b-day - least I was mostly better for the drive back.  May post more details later.",3
"Hey if  you had sex with you from another universe and the were the other gender what would called it and you had kid from that be a clone, just somthing i was wondering",3
Watching Anchorman with <PERSON> :),3
got a new pic does any1 like it?,3
"happy 1st monthsarry to us. ,>",3
I hope the dance isn't gonna suck this time,3
"I take one step awaythen i find myself coming back to youMy one and only, one and onlyI take one step awaythen i find myself coming back to youMy one and only, one and onlyyou...",3
Never realised someone could be so self centred! I couldn't live with my self if I had to lie to myself to get to sleep at night. Yes I've Hurt people before but at least when I learn to admit i was wrong I don't expect to be imeadiatly forgiven        .. God damn it,3
That awkward moment when you're chilling with you're m8s and then an fucking ugly sewer rat pops up and won't leave :/,3
"Telling someone that they are full of bullshit today never felt so good. Even if it wasnt nice to say, the truth felt so great to unleash.",3
wants it to snow like a huge blizzard type thing and to go sleding,3
"y does every1 i like soo much breaks my heart? little by little i break down, i cant stop my emotions, i cant understand it either...im losing it..idk wut to do w/ my life..i thought i knew but now i dont noe..",3
